query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
group_1171	598467.BrE312_4318	1.97e-28	103.0	COG5004@1|root,COG5004@2|Bacteria,1N81H@1224|Proteobacteria,1SCK4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	tail protein x	-	-	-	-	-	-	-	-	-	-	-	-	Phage_tail_X
group_268	1115515.EV102420_09_01870	2.07e-66	202.0	COG0599@1|root,COG0599@2|Bacteria,1MZ80@1224|Proteobacteria,1RU75@1236|Gammaproteobacteria,3XR25@561|Escherichia	1236|Gammaproteobacteria	O	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity	-	-	-	-	-	-	-	-	-	-	-	-	CMD
hisIE	573.JG24_16780	1.41e-136	387.0	COG0139@1|root,COG0140@1|root,COG0139@2|Bacteria,COG0140@2|Bacteria,1MW67@1224|Proteobacteria,1RMV4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP	hisI	GO:0000105,GO:0003674,GO:0003824,GO:0004635,GO:0004636,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016462,GO:0016787,GO:0016810,GO:0016814,GO:0016817,GO:0016818,GO:0018130,GO:0019238,GO:0019438,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	3.5.4.19,3.6.1.31	ko:K11755	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R04035,R04037	RC00002,RC01055	ko00000,ko00001,ko00002,ko01000	-	-	iECNA114_1301.ECNA114_0880,iECW_1372.ECW_m2186,iEKO11_1354.EKO11_1768,iUMN146_1321.UM146_06665,iWFL_1372.ECW_m2186	PRA-CH,PRA-PH
group_10543	269796.Rru_A1329	6.25e-46	152.0	2CAQ0@1|root,32RRS@2|Bacteria,1RJ3J@1224|Proteobacteria,2UJ83@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Malonate transporter MadL subunit	-	-	-	-	-	-	-	-	-	-	-	-	MadL
group_11270	573.JG24_23365	7.32e-79	234.0	2D7FD@1|root,32TNY@2|Bacteria,1NAHU@1224|Proteobacteria,1S9DD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	PFAM DnaJ homologue, subfamily C, member 28, conserved domain	yhdN	-	-	-	-	-	-	-	-	-	-	-	DUF1992
group_5143	1028307.EAE_06655	2.69e-45	155.0	COG3943@1|root,COG3943@2|Bacteria,1MWKW@1224|Proteobacteria,1RPNB@1236|Gammaproteobacteria,3X3E0@547|Enterobacter	1236|Gammaproteobacteria	L	Virulence protein RhuM family	-	-	-	-	-	-	-	-	-	-	-	-	Virulence_RhuM
group_6537	90371.CY43_20755	5.85e-266	733.0	COG0641@1|root,COG0641@2|Bacteria,1MX3M@1224|Proteobacteria,1RN4R@1236|Gammaproteobacteria,3ZMU6@590|Salmonella	1236|Gammaproteobacteria	C	Iron-sulfur cluster-binding domain	-	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Radical_SAM,SEC-C,SPASM
group_4195	7213.XP_004528996.1	7.08e-129	374.0	COG0179@1|root,KOG1535@2759|Eukaryota,38DXI@33154|Opisthokonta,3BCS8@33208|Metazoa,3CYTW@33213|Bilateria,41V17@6656|Arthropoda,3SITR@50557|Insecta,44Y3A@7147|Diptera	33208|Metazoa	Q	catalytic activity. It is involved in the biological process described with metabolic process	-	-	-	-	-	-	-	-	-	-	-	-	FAA_hydrolase
citE_2	1216966.BAUC01000037_gene3008	1.05e-171	484.0	COG2301@1|root,COG2301@2|Bacteria,1MW0A@1224|Proteobacteria,1RNEJ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Belongs to the HpcH HpaI aldolase family	citE	GO:0000287,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006107,GO:0008150,GO:0008152,GO:0009987,GO:0019752,GO:0043167,GO:0043169,GO:0043436,GO:0043648,GO:0044237,GO:0044281,GO:0044424,GO:0044464,GO:0046872,GO:0071704	4.1.3.34	ko:K01644	ko02020,map02020	-	R00362	RC00067,RC01118	ko00000,ko00001,ko01000	-	-	iSFxv_1172.SFxv_0589	HpcH_HpaI
group_12005	1410612.JNKO01000033_gene651	7.7e-186	527.0	COG0473@1|root,COG0473@2|Bacteria,1TPEM@1239|Firmicutes,24A63@186801|Clostridia,2PQYA@265975|Oribacterium	186801|Clostridia	CE	Isocitrate/isopropylmalate dehydrogenase	-	-	1.1.1.41	ko:K00030	ko00020,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map01100,map01110,map01120,map01130,map01200,map01210,map01230	M00009,M00010	R00709	RC00114	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Iso_dh
