strain_x,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_type,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,ID,Assembly Name,geo_loc_name,collected_by,isolation_source,collection_date,strain_y,lat_lon,isolate_name_alias,identification method,host_sex,host_disease,host_age,host,culture_collection,isolate,host_disease_outcome,host_health_state,host_description,host_disease_stage,sample_type,sample_name,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,locus_tag_prefix,num_replicons,project_name,ref_biomaterial,source_material_id,sub_species,type-material,fecal,genotype,host_tissue_sampled,env_package,investigation_type,Laboratory Host,Extraction Method,passage_history,Extraction Date,Passage Date,host_subject_id,pathotype,serotype,serovar,specimen_voucher,subgroup,subtype,ENA first public,ENA last update,ENA-CHECKLIST,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,note,panel_id,Bar Code No,sample_number,Panel_ID,encoded_traits,biomaterial_provider,depth,ontological term,ifsac_category,source_type,ENA-LAST-UPDATE,geographic location (region and locality),scientific_name,relative_week,collection_room,identified_by,host_taxid,sample_id,perturbation,rel_to_oxygen,study_id,wastewater_type,isolated by,attribute_package,PublicAccession,ProjectAccession,Species,Genus,sequenced_by,replicate,assembly_method,assembly_method_version,genome_coverage,sequencing_technology,filename,altitude,samp_size,temp,Acquisition,Sequencing facility,drug_usage,estimated_size,health_state,host_body_product,MLST,N/A,dermatology_disord,extrachrom_elements,alternate_ID,Meropenem resistant,authors,phenotype,beta_lactamase_family,carbapenemase,edta_inhibitor_tested,collecting_lab,biological_replicate,altitude_info,ENA-FIRST-PUBLIC,anonymized name,supplier_name,common name,geographic location (latitude),geographic location (longitude),ArrayExpress-SPECIES,subject id,description,environmental sample,sequencing method,wastewater/sludge environmental package,library construction method,In_List
GCF_000521985.1_Hafn_alve_BIDMC_31_V1_genomic,Klebsiella pneumoniae,strong,6,5077521,5077521,5340028,yes (7996),ambiguous_bases,ST502,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi50,KL15,K15,none,Very high,99.93%,,O4,O4,none,Very high,99.68%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-62,35Q,-,-,-,-,-,ST502,2,53,3,1,10,4,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000521985_1,Hafn_alve_BIDMC_31_V1,missing,,missing,Sep-12,BIDMC 31,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_000567405.1_Kleb_pneu_BIDMC_11_V2_genomic,Klebsiella pneumoniae,strong,16,1534176,1556051,5569072,yes (6967),ambiguous_bases,ST14,0,2,4,7,-,0,-,0,-,0,-,0,-,0,-,wzi2,KL2,K2,none,Very high,99.74%,,O1/O2v1,O2a,none,Very high,99.99%,,aac(3)-Ib;aph3-Ia.v1*?;strA.v1;strB.v1,-,-,-,-,-,-,-,-,-,-,dfrA14.v2*,TEM-1D.v1^,-,-,-,KPC-4,SHV-28^,-,-,-,-,sul1?-0%,-,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000567405_1,Kleb_pneu_BIDMC_11_V2,missing,,"SWAB, PERITONEAL ABSCESS",missing,BIDMC 11,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_000688175.1_Kleb_pneu_UCI_64_V1_genomic,Klebsiella pneumoniae,strong,164,108150,468400,5417553,no,-,ST17,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi50,KL15,K15,?-,Good,99.89%,"KL15_10_wcsR,KL15_13_wckI",O4,O4,?-,Good,99.66%,O4_06_glycosyltransferase,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST17,2,1,1,1,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000688175_1,Kleb_pneu_UCI_64_V1,USA: California,,urine,2013,UCI 64,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_000688195.1_Kleb_pneu_UCI_60_V1_genomic,Klebsiella pneumoniae,strong,53,177419,328590,5155975,no,-,ST3834,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi84,KL28,K28,none,Very high,99.15%,,O1/O2v1,O2a,none,Very high,99.01%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1,-,OmpK36-23%,-,-,-,-,ST3834,4,1,2,80,4,4,487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000688195_1,Kleb_pneu_UCI_60_V1,USA: California,,urine,2013,UCI 60,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non redundant
GCF_000693035.1_Kleb_pneu_BIDMC_69_V1_genomic,Klebsiella pneumoniae,strong,10,1346197,2671548,5541587,yes (42030),ambiguous_bases,ST17,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi82,KL23,K23,none,Very high,99.94%,,O1/O2v2,O2afg,none,Very high,98.45%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST17,2,1,1,1,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000693035_1,Kleb_pneu_BIDMC_69_V1,USA: Boston,,sputum,2013,BIDMC 69,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_000693115.1_Kleb_pneu_BWH_48_V1_genomic,Klebsiella pneumoniae,strong,10,3115405,3115405,5527748,yes (20834),ambiguous_bases,ST17,1,0,0,0,ybt 15; ICEKp11,231,-,0,-,0,-,0,-,0,-,wzi141,KL25,K25,-,High,99.17%,KL25_09_wfeD,O5,O5,*,High,94.20%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST17,2,1,1,1,4,4,4,6,15,22,4,1,37,34,14,1,33,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000693115_1,Kleb_pneu_BWH_48_V1,USA: Boston,,urine,2013,BWH 48,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_000695935.1_ASM69593v1_genomic,Klebsiella pneumoniae,strong,6,5241638,5241638,6132443,no,-,ST34,0,2,9,16,-,0,-,0,-,0,-,0,-,0,-,wzi90,KL22,K22,-,High,99.28%,KL22_17,O1/O2v1,O2a,none,Very high,98.62%,,aac(3)-Ia*;aac(6')-Ib7;ant(2'')-Ia;ant(2'')-Ia,-,-,qnrB19^,-,mphE.v2;msrE,catA1*,-,sul1;sul1*,-,-,dfrA14.v2*,FOX-5;TEM-1D.v1^,-,SHV-12;SHV-5,-,KPC-2,SHV-26,238S;238S;240K;240K;35Q,-,-,-,sul1?-0%,-,ST34,2,3,6,1,9,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000695935_1,ASM69593v1,USA,,groin,2012,KPNIH27,,,,,,,,,,,,,,missing,,,,,,,,,,,pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_000699325.1_4541-2_genomic,Klebsiella pneumoniae,strong,145,102392,293594,5705450,no,-,ST1125,0,1,6,8,-,0,-,0,-,0,-,0,-,0,-,wzi173,KL102,unknown (KL102),-,High,99.96%,KL102_13,O1/O2v2,O2afg,none,Very high,98.44%,,aadA2,-,-,-,-,mphA,catB11;cmlA6*,-,sul1,-,-,-,CARB-2.v1^;FOX-5,-,SHV-12,-,-,-,238S;240K;35Q,-,-,-,-,-,ST1125,2,1,2,1,7,1,203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000699325_1,Feb-41,USA: Maryland,,,2003,Feb-41,39.283333 N 76.616667 W,,,,,,,,,,,,,,,human gut,,peri-anal swab,,,,,,,,,,,,missing,bacteria_archaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_000699345.1_11227-1_genomic,Klebsiella pneumoniae,strong,90,176051,399438,5580381,no,-,ST228,0,2,7,15,-,0,-,0,-,0,-,0,-,0,-,wzi308,KL57,K57,?-*,Good,97.36%,KL57_13_vanT,O1/O2v2,O2afg,none,Very high,98.40%,,aac(6')-Ib'.v1*;aadA*;aadA2;ant(2'')-Ia,-,-,qnrA1,-,-,catB11;catB3.v2;cmlA6*,-,sul1,-,-,dfrA14.v2*;dfrA19*,CARB-2.v1^;FOX-5;OXA-9.v1,-,-,-,KPC-2,SHV-26,-,OmpK35-52%,-,GyrA-83F,-,-,ST228,2,3,6,1,27,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GCF_000699345_1,11227-1,USA: Maryland,,,2005,11227-1,39.283333 N 76.616667 W,,,,,,,,,,,,,,,human gut,,peri-anal swab,,,,,,,,,,,,missing,bacteria_archaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
GCF_000747055.1_ASM74705v1_genomic,Klebsiella pneumoniae,strong,210,88203,209488,5420754,no,-,ST3583,5,0,0,0,ybt 12; ICEKp10,40,clb 1,3,iuc 2,3,iro 2,20,rmp 2; KpVP-2,3,-,wzi257,KL2,K2,?-+,Good,98.56%,KL2_18_ugd,O1/O2v1,O2a,none,Very high,98.65%,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11^,35Q,-,-,-,-,-,ST3583,2,3,2,4,376,4,13,19,1,1,20,1,46,42,1,1,21,53,1,13,1,1,1,3,5,6,6,1,1,12,4,1,1,2,6,13,6,26,4,21,5,18,21,6,5,-,GCF_000747055_1,ASM74705v1,Malaysia,,skin swab,2013/6/3,325,,,,,,,Homo sapiens,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant
