Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,kpref
group_2,,hypothetical protein,85,85,1.0,1,4,,,,522,561,522.4698795180723,
group_3,,"hypothetical protein;""""",67,69,1.0298507462686568,1,5,,,,327,2193,1185.532258064516,
group_4,,hypothetical protein,264,264,1.0,1,6,,,,747,747,747.0,
group_7,,SDR family oxidoreductase,985,985,1.0,1,10,,,,318,798,795.2771573604061,Kp_01358
group_9,,hypothetical protein,74,74,1.0,1,14,,,,495,552,551.24,
group_11,,PfkB family carbohydrate kinase,953,957,1.0041972717733474,1,20,,,,216,879,871.5456453305352,Kp_02460
group_15,,hypothetical protein,49,49,1.0,1,28,,,,1263,1266,1264.2244897959183,
group_16,,hypothetical protein,59,60,1.0169491525423728,1,30,,,,141,1167,1134.15,
group_18,,MobI protein,48,48,1.0,1,32,,,,540,540,540.0,
group_22,,hypothetical protein,61,61,1.0,1,39,,,,1128,1140,1128.7868852459017,
group_23,,GDP-mannose mannosyl hydrolase,58,58,1.0,1,40,,,,240,459,455.2241379310345,Kp_03286
group_28,,hypothetical protein,124,124,1.0,1,45,,,,213,231,213.1451612903226,
group_30,,hypothetical protein,62,63,1.0161290322580645,1,47,,,,741,1593,1558.095238095238,
dam_2~~~dam_1~~~dam_3~~~dam_4,dam_2;dam_1;dam_3;dam_4,adenine-specific DNA-methyltransferase,138,138,1.0,1,49,,,,522,858,853.7173913043479,
group_32,,Protein of unknown function (DUF2732);hypothetical protein,138,138,1.0,1,50,,,,234,234,234.0,
group_33,,hypothetical protein,301,328,1.089700996677741,1,51,,,,303,2022,1837.9174311926608,
tssG_2~~~tssG_3~~~tssG_1,tssG_2;tssG_3;tssG_1;,type VI secretion system baseplate subunit TssG;hypothetical protein,149,149,1.0,1,54,,,,258,1083,1069.2080536912752,
group_38,,hypothetical protein,37,38,1.027027027027027,1,59,,,,297,1323,1217.7631578947369,
group_39,,Family of unknown function (DUF6260);hypothetical protein,36,37,1.0277777777777777,1,60,,,,423,1077,1029.2432432432431,
group_41,,hypothetical protein,36,36,1.0,1,62,,,,399,405,401.9166666666667,
group_45,,hypothetical protein;Domain of unknown function (DUF4917),47,47,1.0,1,66,,,,660,1020,1012.3404255319148,
pld_1~~~pld~~~pld_3,pld_1;pld;pld_3,Phospholipase D,41,41,1.0,1,76,,,,504,534,533.2682926829268,
group_58,,hypothetical protein,82,82,1.0,1,84,,,,486,558,510.96,
group_59,,Family of unknown function (DUF6260);hypothetical protein,119,119,1.0,1,85,,,,615,1056,1052.2941176470588,
group_60,,hypothetical protein,81,124,1.530864197530864,1,86,,,,90,885,478.35483870967744,
mrkH_2~~~mrkH_1~~~mrkH,mrkH_2;mrkH_1;mrkH,transcriptional activator MrkH,1388,1402,1.0100864553314122,1,90,,,,126,795,691.5813124108416,Kp_04044
group_62,,LysM peptidoglycan-binding domain-containing protein;hypothetical protein,108,108,1.0,1,93,,,,483,981,537.3173076923077,
